Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
AL801,Software Design for Virtual Reality and Gaming,300,,304
AL802,Software Design in Artificial Intelligence for Clo,313,,301
AL803,Software Design for Mobile Apps and Connected Devi,350,,309
AL805,Computer Engineering for Network Infrastructure,321,,329
AL810,Quantity Surveying,328,,307
AL811,Civil Engineering,,,
AL820,Mechanical and Polymer Engineering,327,,300
AL830,General Nursing,451,,410
AL832,Mental Health Nursing,440,,387
AL835,Pharmacology,356,,
AL836,Nutrition and Health Science,346,,352
AL837,Sports Science with Exercise Physiology,357,,351
AL838,Biotechnology,324,,302
AL839,Microbiology,325,,322
AL840,Pharmaceutical Sciences,346,,328
AL841,Athletic and Rehabilitation Therapy,477,,423
AL842,Bioveterinary Science,338,,310
AL843,Physical Activity and Health Science,306,,310
AL849,Culinary Entrepreneurship,297,,
AL850,Business,309,,307
AL851,Business and Law,302,,301
AL852,Accounting,336,,290
AL854,Sport Management (with international placement),300,,
AL855,Hospitality Management (with international placeme,309,,312
AL857,Digital Marketing,304,,300
AL859,International Business,308,,
AL860,Social Care Practice,301,,309
AL861,Aniion and Illustration (portfolio),575,,615
AL863,Graphic and Digital Design (portfolio),747,,703
AL864,Early Years Care and Education,306,,307
AL870,Applied Psychology,484,,409
CW018,Business (options),307,,327
CW028,Early Childhood Education and Care,260,,252
CW038,Art (portfolio),700,,700
CW058,Tourism and Event Management,292,,252
CW068,Applied Social Studies in Professional Social Care,250,,251
CW078,Sustainable Farm Management and Agribusiness,270,,266
CW088,Visual Communications and Design,270,,309
CW108,Science (options),266,,261
CW128,Brewing and Distilling,307,,271
CW138,Sport and Exercise Science,430,,
CW148,Strength and Conditioning,388,,
CW188,Sport Rehabilitation and Athletic Therapy,451,,454
CW208,Computer Games Development,272,,281
CW238,Software Development,295,,300
CW248,Inforion Technology Management,293,,307
CW258,Cybercrime and IT Security,292,,300
CW268,Computing in Interactive Digital Art and Design,291,,274
CW438,Construction (options),260,,271
CW468,Architectural Technology,291,,252
CW478,Civil Engineering,465,,348
CW548,Mechanical Engineering,330,,310
CW558,Electronic Systems,280,,279
CW568,Aerospace Engineering,371,,366
CW578,TV and Media Production,318,,327
CW708,Law - LLB,292,,298
CW728,Product Design Innovation,246,,286
CW748,Early Childhood Education and Care,290,,265
CW758,Professional Social Care Practice,360,,290
CW808,Media and Public Relations,247,,248
CW848,Digital Marketing with Analytics,269,,279
CW858,Sports Management and Coaching (options  portfolio,700,,700
CW908,Business (options),272,,260
CW938,Business with Law,270,,270
CW948,Accounting,319,,301
PC405,Social  Political and Community Studies,263,,251
PC410,Arts and Humanities (fulfils Teaching Council requ,262,,203
PC411,English and History (fulfils Teaching Council requ,243,,168
CR105,Chemical and Biopharmaceutical Engineering,443,,432
CR106,Software Development,431,,351
CR108,Mechanical Engineering,434,,425
CR109,Structural Engineering,396,,341
CR110,Automotive Business Management and Technology,336,,318
CR112,Creative Digital Media at CIT Crawford College of,390,,335
CR116,Computer Systems,365,,318
CR121,Music at CIT Cork School of Music,904,,633
CR125,Popular Music at CIT Cork School of Music,1028,,972
CR130,Musical Theatre at CIT Cork School of Music,525,,500
CR150,Business Inforion Systems,350,,326
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,+ric,979
CR220,Fine Art at CIT Crawford College of Art and Design,400,+ric,620
CR225,Photography with New Media at CIT Crawford College,435,+ric,920
CR305,Physical Sciences (Common Entry),260,,279
CR310,IT Management,347,,282
CR320,Biomedical Science - Offered jointly by CIT and UC,590,,546
CR325,Pharmaceutical Biotechnology,466,,388
CR333,Nutrition and Health Science,425,,360
CR335,Biological Sciences (Common Entry),473,,381
CR340,Analytical Chemistry with Quality Assurance,327,,288
CR360,Instrument Engineering,301,,291
