Code,points_r1_2021
AL801,300
AL802,313
AL803,350
AL805,321
AL810,328
AL811,
AL820,327
AL830,451
AL832,440
AL835,356
AL836,346
AL837,357
AL838,324
AL839,325
AL840,346
AL841,477
AL842,338
AL843,306
AL849,297
AL850,309
AL851,302
AL852,336
AL854,300
AL855,309
AL857,304
AL859,308
AL860,301
AL861,#575
AL863,#747
AL864,306
AL870,484
CW018,307
CW028,260
CW038,#700
CW058,292
CW068,250
CW078,270
CW088,270
CW108,266
CW128,307
CW138,430
CW148,388
CW188,451
CW208,272
CW238,295
CW248,293
CW258,292
CW268,291
CW438,260
CW468,291
CW478,465
CW548,330
CW558,280
CW568,371
CW578,318
CW708,292
CW728,246
CW748,290
CW758,360
CW808,247
CW848,269
CW858,#700
CW908,272
CW938,270
CW948,319
PC405,263
PC410,262
PC411,243
CR105,443
CR106,431
CR108,434
CR109,396
CR110,336
CR112,390
CR116,365
CR121,#904
CR125,#1028
CR130,#525
CR150,350
CR210,#450
CR220,#400
CR225,#435
CR305,260
CR310,347
CR320,590
CR325,466
CR333,425
CR335,473
CR340,327
CR360,301
CR365,262
CR370,368
CR400,315
CR420,290
CR425,279
CR430,402
CR435,410
CR440,409
CR500,475
CR510,320
CR520,444
CR560,375
CR565,431
CR570,375
CR572,300
CR580,342
CR590,329
CR600,#280
CR660,246
CR700,#609
CR930,518
CK101,300
CK102,434
CK104,#339
CK105,421
CK107,312
CK108,440
CK109,367
CK110,488
CK111,409
CK112,#371
CK113,464
CK114,#
CK115,
CK118,347
CK120,544
CK121,499
CK122,399
CK123,308
CK124,473
CK125,564
CK201,500
CK202,553
CK203,455
CK204,566
CK205,465
CK206,466
CK207,423
CK208,488
CK209,507
CK211,385
CK212,445
CK213,466
CK214,332
CK301,533
CK302,545
CK304,588
CK307,589
CK401,503
CK402,555
CK404,500
CK405,543
CK406,532
CK407,566
CK408,566
CK409,465
CK411,531
CK412,506
CK504,555
CK505,463
CK600,510
CK606,543
CK701,#738
CK702,625
CK703,613
CK704,601
CK705,568
CK706,500
CK707,578
CK710,498
CK712,565
CK720,455
CK730,431
CK740,509
CK791,#60
AC120,294
AC137,271
CT125,242
CT325,253
CM001,508
CM002,#462
CM003,#513
CM004,#480
CM010,382
CM020,317
DB500,234
DB501,
DB502,267
DB503,
DB504,
DB510,217
DB512,243
DB514,239
DB515,242
DB517,233
DB518,307
DB521,243
DB524,247
DB525,288
DB526,244
DB527,254
DB531,288
DB562,244
DB566,262
DB567,245
DB568,254
DB569,240
DC001,445
DC002,518
DC003,#489
DC004,#451
DC009,356
DC010,384
DC011,409
DC012,409
DC013,413
DC014,#311
DC110,498
DC111,511
DC112,542
DC113,484
DC114,544
DC115,544
DC116,613
DC117,484
DC118,368
