,Course Code,Course,EOS,Mid
0,AL801,Software Design with Virtual Reality and Gaming,304,328.0
1,AL802,Software Design with Cloud Computing,301,306.0
2,AL803,Software Design with Mobile Apps and Connected Devices,309,337.0
3,AL805,Network Management and Cloud Infrastructure,329,442.0
4,AL810,Quantity Surveying,307,349.0
5,AL820,Mechanical and Polymer Engineering,300,358.0
6,AL830,General Nursing,410,429.0
7,AL832,Psychiatric Nursing,387,403.0
8,AL836,Nutrition and Health Science,352,383.0
9,AL837,Sports Science with Exercise Physiology,351,392.0
10,AL838,Biotechnology,302,372.0
11,AL839,Microbiology,322,371.0
12,AL840,Pharmaceutical Sciences,328,411.0
13,AL841,Athletic and Rehabilitation Therapy,423,430.0
14,AL842,Bioveterinary Science,310,366.0
15,AL843,Physical Activity and Health Science,310,330.0
16,AL850,Business,307,356.0
17,AL851,Business and Law,301,341.0
18,AL852,Accounting (with optional placement),290,346.0
19,AL853,Accounting and Law,305,320.0
20,AL855,Hospitality Management (with International placement),312,357.0
21,AL857,Digital Marketing,300,360.0
22,AL860,Social Care Practice,309,338.0
23,AL861,Animation and Illustration (portfolio),615,899.0
24,AL863,Graphic and Digital Design (portfolio),703,898.0
25,AL864,Early Years Care and Education,307,348.0
26,AL870,Applied Psychology,409,445.0
27,CW018,"Business (options, Wexford)",327,349.0
28,CW028,Early Childhood Education and Care (Wexford),252,308.0
29,CW038,"Art (portfolio, Wexford)",700,700.0
30,CW058,Tourism and Event Management (Wexford),252,262.0
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280.0
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320.0
33,CW088,Visual Communications and Design (Wexford),309,345.0
34,CW108,Science (options),261,326.0
35,CW128,Brewing and Distilling,271,298.0
36,CW178,Sport Science (options),399,424.0
37,CW188,Sport Rehabilitation and Athletic Therapy,454,473.0
38,CW208,Computer Games Development,281,338.0
39,CW238,Software Development,300,343.0
40,CW248,Information Technology Management,307,357.0
41,CW258,Cybercrime and IT Security,300,328.0
42,CW268,Computing in Interactive Digital Art and Design,274,321.0
43,CW438,Construction (options),271,308.0
44,CW468,Architectural Technology,252,290.0
45,CW478,Civil Engineering,348,383.0
46,CW548,Mechanical Engineering,310,351.0
47,CW558,Electronic Systems,279,338.0
48,CW568,Aerospace Engineering,366,422.0
49,CW578,TV and Media Production,327,361.0
50,CW708,Law - LLB,298,328.0
51,CW728,Product Design Innovation,286,355.0
52,CW748,Early Childhood Education and Care,265,338.0
53,CW758,Applied Social Studies - Professional Social Care,290,319.0
54,CW808,Media and Public Relations,248,307.0
55,CW848,Digital Marketing with Analytics,279,307.0
56,CW858,"Sports Management and Coaching (options, portfolio)",700,700.0
57,CW908,Business (options),260,307.0
58,CW938,Business with Law,270,288.0
59,CW948,Accounting,301,408.0
60,PC405,"Social, Political and Community Studies",251,296.0
61,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289.0
62,PC411,English and History (fulfils Teaching Council requirements),168,289.0
63,CR105,Chemical and Biopharmaceutical Engineering,432,498.0
64,CR106,Software Development,351,393.0
65,CR108,Mechanical Engineering,425,487.0
66,CR109,Structural Engineering,341,467.0
