,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
0,AL801,Software Design for Virtual Reality and Gaming,303,303,303
1,AL802,Software Design in Artificial Intelligence for Clo,332,332,332
2,AL803,Software Design for Mobile Apps and Connected Devi,337,337,337
3,AL805,Computer Engineering for Network Infrastructure,333,333,333
4,AL810,Quantity Surveying,319,319,319
5,AL811,Civil Engineering,320,320,320
6,AL820,Mechanical and Polymer Engineering,308,308,308
7,AL830,General Nursing,442,442,442
8,AL832,Mental Health Nursing,387,387,387
9,AL835,Pharmacology,,,
10,AL836,Nutrition and Health Science,334,334,334
11,AL837,Sports Science with Exercise Physiology,351,351,351
12,AL838,Biotechnology,307,307,307
13,AL839,Microbiology,325,325,325
14,AL840,Pharmaceutical Sciences,347,347,347
15,AL841,Athletic and Rehabilitation Therapy,430,430,430
16,AL842,Bioveterinary Science,313,313,313
17,AL843,Physical Activity and Health Science,306,306,306
18,AL849,Culinary Entrepreneurship,,,
19,AL850,Business,309,309,309
20,AL851,Business and Law,295,295,295
21,AL852,Accounting,309,309,309
22,AL854,Sport Management (with international placement),302,302,302
23,AL855,Hospitality Management (with international placeme,308,308,308
24,AL857,Digital Marketing,304,304,304
25,AL859,International Business,,,
26,AL860,Social Care Practice,300,300,300
27,AL861,Animation and Illustration (portfolio),578,578,578
28,AL863,Graphic and Digital Design (portfolio),781,781,781
29,AL864,Early Years Care and Education,307,307,307
30,AL870,Applied Psychology,418,418,418
31,CW018,Business (options),298,298,298
32,CW028,Early Childhood Education and Care,252,252,252
33,CW038,Art (portfolio),700,700,700
34,CW058,Tourism and Event Management,298,298,298
35,CW068,Applied Social Studies in Professional Social Care,245,245,245
36,CW078,Sustainable Farm Management and Agribusiness,269,269,269
37,CW088,Visual Communications and Design,274,274,274
38,CW108,Science (options),261,261,261
39,CW128,Brewing and Distilling,263,263,263
40,CW138,Sport and Exercise Science,423,423,423
41,CW148,Strength and Conditioning,379,379,379
42,CW188,Sport Rehabilitation and Athletic Therapy,451,451,451
43,CW208,Computer Games Development,279,279,279
44,CW238,Software Development,297,297,297
45,CW248,Information Technology Management,285,285,285
46,CW258,Cybercrime and IT Security,293,293,293
47,CW268,Computing in Interactive Digital Art and Design,287,287,287
48,CW438,Construction (options),272,272,272
49,CW468,Architectural Technology,262,262,262
50,CW478,Civil Engineering,433,433,433
51,CW548,Mechanical Engineering,321,321,321
52,CW558,Electronic Systems,280,280,280
53,CW568,Aerospace Engineering,380,380,380
54,CW578,TV and Media Production,325,325,325
55,CW708,Law - LLB,302,302,302
56,CW728,Product Design Innovation,252,252,252
57,CW748,Early Childhood Education and Care,270,270,270
58,CW758,Professional Social Care Practice,336,336,336
59,CW808,Media and Public Relations,251,251,251
60,CW848,Digital Marketing with Analytics,254,254,254
61,CW858,Sports Management and Coaching (options  portfolio,700,700,700
62,CW908,Business (options),280,280,280
63,CW938,Business with Law,283,283,283
64,CW948,Accounting,300,300,300
65,PC405,Social  Political and Community Studies,253,253,253
66,PC410,Arts and Humanities (fulfils Teaching Council requ,252,252,252
67,PC411,English and History (fulfils Teaching Council requ,255,255,255
