,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
0,AL801,Software Design for Virtual Reality and Gaming,300,303,304
1,AL802,Software Design in Artificial Intelligence for Clo,313,332,301
2,AL803,Software Design for Mobile Apps and Connected Devi,350,337,309
3,AL805,Computer Engineering for Network Infrastructure,321,333,329
4,AL810,Quantity Surveying,328,319,307
5,AL811,Civil Engineering,0,320,0
6,AL820,Mechanical and Polymer Engineering,327,308,300
7,AL830,General Nursing,451,442,410
8,AL832,Mental Health Nursing,440,387,387
9,AL835,Pharmacology,356,0,0
10,AL836,Nutrition and Health Science,346,334,352
11,AL837,Sports Science with Exercise Physiology,357,351,351
12,AL838,Biotechnology,324,307,302
13,AL839,Microbiology,325,325,322
14,AL840,Pharmaceutical Sciences,346,347,328
15,AL841,Athletic and Rehabilitation Therapy,477,430,423
16,AL842,Bioveterinary Science,338,313,310
17,AL843,Physical Activity and Health Science,306,306,310
18,AL849,Culinary Entrepreneurship,297,0,0
19,AL850,Business,309,309,307
20,AL851,Business and Law,302,295,301
21,AL852,Accounting,336,309,290
22,AL854,Sport Management (with international placement),300,302,0
23,AL855,Hospitality Management (with international placeme,309,308,312
24,AL857,Digital Marketing,304,304,300
25,AL859,International Business,308,0,0
26,AL860,Social Care Practice,301,300,309
27,AL861,Animation and Illustration (portfolio),575,578,615
28,AL863,Graphic and Digital Design (portfolio),747,781,703
29,AL864,Early Years Care and Education,306,307,307
30,AL870,Applied Psychology,484,418,409
31,CW018,Business (options),307,298,327
32,CW028,Early Childhood Education and Care,260,252,252
33,CW038,Art (portfolio),700,700,700
34,CW058,Tourism and Event Management,292,298,252
35,CW068,Applied Social Studies in Professional Social Care,250,245,251
36,CW078,Sustainable Farm Management and Agribusiness,270,269,266
37,CW088,Visual Communications and Design,270,274,309
38,CW108,Science (options),266,261,261
39,CW128,Brewing and Distilling,307,263,271
40,CW138,Sport and Exercise Science,430,423,0
41,CW148,Strength and Conditioning,388,379,0
42,CW188,Sport Rehabilitation and Athletic Therapy,451,451,454
43,CW208,Computer Games Development,272,279,281
44,CW238,Software Development,295,297,300
45,CW248,Information Technology Management,293,285,307
46,CW258,Cybercrime and IT Security,292,293,300
47,CW268,Computing in Interactive Digital Art and Design,291,287,274
48,CW438,Construction (options),260,272,271
49,CW468,Architectural Technology,291,262,252
50,CW478,Civil Engineering,465,433,348
51,CW548,Mechanical Engineering,330,321,310
52,CW558,Electronic Systems,280,280,279
53,CW568,Aerospace Engineering,371,380,366
54,CW578,TV and Media Production,318,325,327
55,CW708,Law - LLB,292,302,298
56,CW728,Product Design Innovation,246,252,286
57,CW748,Early Childhood Education and Care,290,270,265
