Tm,G,P-Cmp,P-Att,P-Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,P-YAC,P-YAC/Cmp,R-Att,Yds,1stDown,YBContact,YBC/Att,YAContact,YAContact/Att,BrkTkl,Att/Br
Atlanta Falcons,16,408,628,4363,5412,8.6,2976,7.3,4.7,1644,4,409,1532,86,816,2,716,1.8,27,15.1
Buffalo Bills,16,410,596,4620,5133,8.6,2859,7,4.8,1927,4.7,411,1723,119,794,1.9,929,2.3,28,14.7
Carolina Panthers,16,373,550,3888,4118,7.5,2098,5.6,3.8,2031,5.4,407,1704,110,864,2.1,840,2.1,42,9.7
Chicago Bears,16,402,614,3655,4874,7.9,2208,5.5,3.6,1717,4.3,393,1647,93,865,2.2,782,2,39,10.1
Cincinnati Bengals,16,372,581,3448,4736,8.2,2005,5.4,3.5,1788,4.8,411,1668,92,924,2.2,744,1.8,23,17.9
Cleveland Browns,16,315,501,3539,4226,8.4,2296,7.3,4.6,1405,4.5,495,2374,133,1224,2.5,1150,2.3,42,11.8
Indianapolis Colts,16,371,552,4053,3971,7.2,1947,5.2,3.5,2239,6,459,1996,129,1145,2.5,851,1.9,35,13.1
Arizona Cardinals,16,387,575,3916,4460,7.8,2234,5.8,3.9,1868,4.8,479,2237,136,1505,3.1,732,1.5,31,15.5
Dallas Cowboys,16,413,639,4161,4748,7.4,2451,5.9,3.8,2060,5,430,1788,115,912,2.1,876,2,26,16.5
Denver Broncos,16,317,556,3451,5001,9,2041,6.4,3.7,1632,5.1,442,1918,94,1167,2.6,751,1.7,23,19.2
Detroit Lions,16,374,582,4104,4981,8.6,2510,6.7,4.3,1887,5,367,1499,93,975,2.7,524,1.4,24,15.3
Green Bay Packers,16,372,526,4106,4135,7.9,2051,5.5,3.9,2248,6,443,2118,114,1107,2.5,1011,2.3,26,17
Houston Texans,16,383,546,4538,4865,8.9,2865,7.5,5.2,1978,5.2,344,1466,83,914,2.7,552,1.6,20,17.2
Jacksonville Jaguars,16,387,616,3699,4847,7.9,2248,5.8,3.6,1707,4.4,337,1519,80,756,2.2,763,2.3,20,16.9
Kansas City Chiefs,16,420,630,4854,5096,8.1,2524,6,4,2481,5.9,403,1799,110,1091,2.7,708,1.8,25,16.1
Miami Dolphins,16,370,559,3736,4264,7.6,2282,6.2,4.1,1655,4.5,428,1688,100,1075,2.5,613,1.4,19,22.5
Minnesota Vikings,16,349,516,4009,4103,8,2329,6.7,4.5,1936,5.5,468,2283,139,1215,2.6,1068,2.3,49,9.6
New Orleans Saints,16,370,522,3758,3255,6.2,2034,5.5,3.9,1911,5.2,494,2265,147,1380,2.8,885,1.8,28,17.6
New England Patriots,16,283,440,2890,2995,6.8,1578,5.6,3.6,1546,5.5,502,2346,143,1394,2.8,952,1.9,35,14.3
New York Giants,16,321,517,3026,3984,7.7,2070,6.4,4,1266,3.9,399,1768,91,1056,2.6,712,1.8,18,22.2
New York Jets,16,292,499,2796,4243,8.5,1599,5.5,3.2,1516,5.2,406,1683,94,871,2.1,812,2,19,21.4
Tennessee Titans,16,316,485,3653,4064,8.4,2302,7.3,4.7,1524,4.8,521,2690,142,1386,2.7,1304,2.5,41,12.7
Philadelphia Eagles,16,334,598,3327,5319,8.9,2227,6.7,3.7,1501,4.5,403,2027,114,1239,3.1,788,2,29,13.9
Pittsburgh Steelers,16,428,656,4003,4652,7.1,2061,4.8,3.1,2068,4.8,373,1351,81,711,1.9,640,1.7,25,14.9
Las Vegas Raiders,16,369,551,4217,4492,8.2,2327,6.3,4.2,2056,5.6,457,1916,121,1076,2.4,840,1.8,28,16.3
Los Angeles Rams,16,392,590,4014,3937,6.7,1938,4.9,3.3,2245,5.7,473,2018,123,1220,2.6,798,1.7,21,22.5
Baltimore Ravens,16,257,406,2739,3524,8.7,1647,6.4,4.1,1272,4.9,555,3071,165,1866,3.4,1205,2.2,33,16.8
Los Angeles Chargers,16,413,627,4329,4728,7.5,2249,5.4,3.6,2299,5.6,466,1784,111,1006,2.2,778,1.7,30,15.5
Seattle Seahawks,16,388,563,3941,4834,8.6,2404,6.2,4.3,1841,4.7,411,1971,111,1275,3.1,696,1.7,20,20.6
San Francisco 49ers,16,371,570,4033,3770,6.6,2023,5.5,3.5,2297,6.2,437,1889,101,1105,2.5,784,1.8,23,19
Tampa Bay Buccaneers,16,410,626,4626,5639,9,2896,7.1,4.6,1880,4.6,369,1519,82,671,1.8,848,2.3,13,28.4
Washington Football Team,16,389,601,3465,3711,6.2,1603,4.1,2.7,2193,5.6,400,1611,108,899,2.2,712,1.8,35,11.4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
