player,pass_att,pass_cmp
Dak Prescott,58,42
Tom Brady,50,32
Jalen Hurts,35,27
Matt Ryan,35,21
Ben Roethlisberger,32,18
Josh Allen,51,30
Zach Wilson,37,20
Sam Darnold,35,24
Kirk Cousins,49,36
Joe Burrow,27,20
Russell Wilson,23,18
Carson Wentz,38,25
Jared Goff,57,38
Jimmy Garoppolo,25,17
Trey Lance,1,1
Trevor Lawrence,51,28
Tyrod Taylor,33,21
Baker Mayfield,28,21
Patrick Mahomes,36,27
Taysom Hill,1,1
Jameis Winston,20,14
Aaron Rodgers,28,15
Jordan Love,7,5
Jacoby Brissett,0,0
Tua Tagovailoa,27,16
Mac Jones,39,29
Teddy Bridgewater,36,28
Daniel Jones,37,22
Kyler Murray,32,21
Ryan Tannehill,35,21
Matthew Stafford,26,20
Andy Dalton,38,27
Justin Fields,2,2
Justin Herbert,47,31
Ryan Fitzpatrick,6,3
Taylor Heinicke,15,11
Lamar Jackson,30,19
Derek Carr,56,34
Marcus Mariota,0,0
